"SMILES","Ro5","cRo5","DLS_01","DLS_02","DLS_03","DLS_04","DLS_05","DLS_06","DLS_07","DLS_cons","LLS_01","LLS_02","CMC-80","CMC-50","Inflammat-80","Inflammat-50","Depressant-80","Depressant-50","Psychotic-80","Psychotic-50","Hypertens-80","Hypertens-50","Hypnotic-80","Hypnotic-50","Neoplastic-80","Neoplastic-50","Infective-80","Infective-50"
"CN1C2=C(NC=N2)C(=O)N(C)C1=O","0.0","1.0","1.0","0.67","0.83","0.8","0.0","1.0","1.0","0.76","0.67","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"CC12CC(O)C3CC1(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3(COC(=O)C1=CC=CC=C1)C(=O)O2","0.0","1.0","0.75","0.67","0.83","0.9","1.0","0.67","0.5","0.76","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","1.0","0.0","0.5","0.33","0.5","0.6","0.5","0.33","0.0","0.4","0.17","0.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H]1O","1.0","0.0","0.25","0.5","0.5","0.5","0.0","0.33","0.5","0.37","0.17","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CC(C)=CC\C=C(\C)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C","0.0","1.0","0.75","0.83","0.83","0.9","1.0","0.83","1.0","0.88","0.0","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(OC)C2=C[N+]3=C(C=C2C=C1)C1=CC2=C(OCO2)C=C1CC3","0.0","1.0","1.0","1.0","1.0","0.8","0.5","1.0","1.0","0.9","0.67","0.88","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0"
"C[C@H]1CC[C@@]2(O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@H]1C3","0.0","1.0","1.0","0.83","1.0","0.5","0.5","1.0","1.0","0.83","0.83","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@H]1C1=CC=C(O)C=C1","0.0","1.0","1.0","1.0","1.0","0.8","0.5","1.0","1.0","0.9","0.5","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CCC1CN2CC[C@]3(C2CC1C(=COC)C(=O)OC)C(=O)NC1=CC=CC=C31","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.33","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"C[C@]1(O)CC(O)[C@]2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12","0.0","1.0","0.75","0.5","0.83","0.8","1.0","0.67","0.5","0.72","0.33","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
