nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
25.0,144.0,12700.0,185.0,153.0,0.0778,0.0616,0.0507,1.35,1.21,0.564,8.0,9.58,1.38,0.0,0.0,0.228,0.223,4.19,2.78,-4.7,31.4,20.3,44.1,7.69,22.4,5.35,0.217,1.81,3.47,0
25.0,188.0,15000.0,216.0,197.0,-0.0257,0.0662,0.0482,0.996,1.04,0.607,4.0,3.38,1.02,0.0,0.0,0.247,0.23600000000000002,4.23,2.2,-4.2,50.1,26.7,25.0,5.41,8.45,22.7,0.33899999999999997,1.73,2.91,0
16.0,64.3,8540.0,204.0,178.0,-0.00293,0.0862,0.0719,1.32,1.07,0.595,2.0,2.21,1.11,0.0,0.0,0.259,0.248,3.63,1.83,-3.45,32.1,20.6,5.56,3.23,7.68,9.99,0.289,1.73,2.27,0
24.0,132.0,12200.0,190.0,166.0,-0.155,0.0954,0.0902,1.25,1.17,0.5720000000000001,2.0,2.23,1.12,0.0,0.0,0.223,0.21600000000000005,4.19,2.49,-4.32,45.7,6.54,33.3,3.27,7.68,11.8,0.233,1.77,3.83,0
12.0,86.0,7750.0,238.0,211.0,-0.0471,-0.0684,-0.0787,0.561,0.9059999999999999,0.652,1.0,0.294,0.294,0.0,0.0,0.341,0.321,3.2,1.57,-3.31,12.0,0.0,18.9,0.294,6.95,7.52,0.545,1.45,0.7,0
18.0,113.0,9830.0,197.0,178.0,-0.0416,-0.04,-0.0498,0.54,1.16,0.5870000000000001,3.0,1.84,0.87,0.0,0.0,0.305,0.29600000000000004,3.57,1.93,-3.24,18.8,0.0,33.1,3.39,2.41,5.38,0.545,1.39,1.35,0
14.0,77.0,7980.0,207.0,192.0,-0.061,-0.0572,-0.0687,0.556,1.1,0.602,1.0,0.218,0.218,0.0,0.0,0.33799999999999997,0.325,3.22,1.59,-2.43,12.3,0.0,20.3,1.73,1.0,2.81,0.616,1.31,0.5710000000000001,0
18.0,106.0,10400.0,203.0,168.0,-0.004070000000000001,-0.0051600000000000005,-0.0146,0.816,1.09,0.603,4.0,4.09,1.13,0.0,0.0,0.3,0.289,3.62,1.91,-3.41,37.1,13.7,30.7,3.18,8.57,14.1,0.41100000000000003,1.6,2.22,0
21.0,115.0,11200.0,193.0,156.0,-0.0086,0.0232,0.0108,0.914,1.13,0.5870000000000001,5.0,4.85,1.2,0.0,0.0,0.259,0.25,3.92,2.22,-3.38,31.9,13.2,37.7,3.42,12.4,13.7,0.319,1.7,2.48,0
23.0,124.0,12200.0,192.0,154.0,-0.0311,0.0266,0.0149,0.9229999999999999,1.15,0.581,4.0,4.39,1.19,0.0,0.0,0.249,0.242,4.05,2.37,-3.41,38.8,6.54,44.6,3.34,11.1,13.5,0.303,1.7,2.86,0
21.0,154.0,13200.0,239.0,199.0,-0.0151,0.0654,0.067,0.779,0.9079999999999999,0.6579999999999999,5.0,2.63,0.845,0.0,0.0,0.26,0.245,4.13,2.54,-6.82,36.1,6.67,35.3,2.23,23.3,27.5,0.292,1.78,5.56,0
